product_id,reporting_date,country_code,units,price,sales,cogs,discounts,refunds,advertising_fees,returns,sde,fees
11,2022-01-09,de,5,15.386,76.93,-9.7,-1.12,-15.83,-19.65,3.0,8.41,-26.1
36,2022-01-09,de,3,15.96,47.88,-6.66,0.0,,-11.79,,13.32,-16.11
22,2022-01-09,nl,1,27.28,27.28,-4.67,-2.06,,-0.63,,12.16,-7.76
18,2022-01-09,us,20,26.613000000000003,532.26,-122.78,-3.95,,-58.54,2.0,138.57,-208.42
34,2022-01-09,de,84,8.589761905,721.54,-175.56,-23.47,-8.79,-330.1,,-37.22,-220.83999999999997
40,2022-01-09,de,4,26.54,106.16,-27.8,-0.48,,-15.72,,33.52,-28.64
12,2022-01-09,de,4,25.45,101.8,-14.12,-0.84,,-15.72,,43.04,-28.08
3,2022-01-09,de,5,47.008,235.04,-80.6,-3.35,,-19.65,,70.19,-61.25
22,2022-01-09,fr,1,24.99,24.99,-4.67,0.0,,-1.98,,8.09,-10.25
20,2022-01-09,de,2,31.395,62.79,-11.72,-3.35,,-7.86,,21.38,-18.48
4,2022-01-09,de,18,21.195555556,381.52,-99.54,-2.03,-23.39,-70.73,2.0,102.26,-89.1
21,2022-01-09,us,19,31.27,594.13,-79.49,-8.56,-52.88,-55.61,,194.41,-203.17999999999998
6,2022-01-09,de,3,22.106666667,66.32,-14.85,-2.79,,-11.79,,22.04,-14.85
32,2022-01-09,de,71,21.41056338,1520.15,-325.18,-17.68,,-279.01,1.0,355.75,-547.11
34,2022-01-09,fr,14,9.143571429,128.01,-29.26,-9.13,-17.52,-27.78,,-0.34,-44.66
25,2022-01-09,de,19,23.942631579,454.91,-139.84,-1.73,-49.26,-74.66,2.0,59.84,-129.57999999999998
8,2022-01-09,es,1,16.52,16.52,-5.57,0.0,,-0.23,,2.57,-8.15
41,2022-01-09,de,3,25.2,75.6,-20.85,0.0,,-11.79,,21.48,-21.48
35,2022-01-09,de,1,26.88,26.88,-3.96,0.0,,-3.93,,11.67,-7.32
9,2022-01-09,de,7,7.835714286,54.85,-10.29,-1.68,,-27.51,,-7.73,-23.1
8,2022-01-09,it,4,16.8875,67.55,-22.28,-1.63,,-11.15,,9.73,-22.759999999999998
43,2022-01-09,de,14,16.925,236.95,-83.72,-0.84,,-55.02,,20.09,-77.28
